mop type,fu,transfer_Type_mem,transfer_type_reg,mnemonic
consistentMovConst,,flt,int,FLDLN2
consistentMovConst,,flt,int,FLDZ
ignore,,,,FNSTENV
ignore,,,,FSTENV
consistentComp,FloatSqrt,,,F2XM1
consistentComp,FloatSqrt,,,FYL2X
consistentComp,FloatSqrt,,,FPTAN
ignore,,,,FPATAN
ignore,,,,FXTRACT
ignore,,,,FPREM1
ignore,,,,FDECSTP
ignore,,,,FINCSTP
ignore,,,,FNSTCW
ignore,,,,FSTCW
ignore,,,,FPREM
consistentCompAndPushPop,FloatSqrt,,,FYL2XP1
consistentComp,FloatSqrt,,,FSQRT
consistentComp,FloatSqrt,,,FSINCOS
consistentComp,FloatSqrt,,,FRNDINT
consistentComp,FloatSqrt,,,FSCALE
consistentComp,FloatSqrt,,,FSIN
consistentComp,FloatSqrt,,,FCOS
consistentComp,FloatAdd,,,FIADD
consistentMov,,flt,flt,FCMOVB
consistentComp,FloatMult,,,FIMUL
consistentMov,,flt,flt,FCMOVE
consistentComp,FloatCmp,,,FICOM
consistentMov,,flt,flt,FCMOVBE
consistentCompAndPushPop,FloatCmp,,,FICOMP
consistentMov,,flt,flt,FCMOVU
consistentComp,FloatAdd,,,FISUB
consistentComp,FloatAdd,,,FISUBR
consistentCompAndPushPop,FloatCmp,,,FUCOMPP
consistentComp,FloatDiv,,,FIDIV
consistentComp,FloatDiv,,,FIDIVR
consistentMov,,flt,flt,FILD
consistentMov,,flt,flt,FCMOVNB
consistentMovAndPop,,flt,flt,FISTTP
consistentMov,,flt,flt,FCMOVNE
consistentMov,,flt,flt,FIST
consistentMov,,flt,flt,FCMOVNBE
consistentMovAndPop,,flt,flt,FISTP
consistentMov,,flt,flt,FCMOVNU
ignore,,,,FNENI nop 
ignore,,,,FNDISI nop 
ignore,,,,FNCLEX
ignore,,,,FCLEX
ignore,,,,FNINIT
ignore,,,,FINIT
ignore,,,,FNSETPM nop 
consistentMov,,flt,flt,FLD
